-4.450,4.450
-4.354,4.430
-4.257,4.410
-4.161,4.390
-4.065,4.370
-3.968,4.350
-3.872,4.330
-3.775,4.310
-3.679,4.290
-3.583,4.270
-3.486,4.250
-3.390,4.230
-3.294,4.210
-3.197,4.190
-3.101,4.170
-3.005,4.150
-2.908,4.130
-2.812,4.110
-2.715,4.090
-2.619,4.070
-2.523,4.050
-2.426,4.030
-2.330,4.010
-2.234,3.990
-2.137,3.970
-2.041,3.950
-1.945,3.930
-1.848,3.910
-1.752,3.890
-1.655,3.870
-1.559,3.850
-1.463,3.830
-1.366,3.810
-1.270,3.790
-1.174,3.770
-1.077,3.750
-0.981,3.730
-0.885,3.710
-0.788,3.690
-0.692,3.670
-0.595,3.650
-0.499,3.630
-0.403,3.610
-0.306,3.590
-0.210,3.570
-0.114,3.550
-0.017,3.530
0.079,3.510
0.175,3.490
0.272,3.470
0.368,3.450
0.465,3.430
0.561,3.410
0.657,3.390
0.754,3.370
0.850,3.350
0.895,3.264
0.940,3.178
0.984,3.091
1.029,3.005
1.074,2.919
1.119,2.833
1.164,2.747
1.209,2.660
1.253,2.574
1.298,2.488
1.343,2.402
1.388,2.316
1.433,2.229
1.478,2.143
1.522,2.057
1.567,1.971
1.612,1.884
1.657,1.798
1.702,1.712
1.747,1.626
1.791,1.540
1.836,1.453
1.881,1.367
1.926,1.281
1.971,1.195
2.016,1.109
2.060,1.022
2.105,0.936
2.150,0.850
2.150,0.750
2.150,0.650
2.150,0.550
2.150,0.450
2.150,0.350
2.150,0.250
2.150,0.150
2.150,0.050
2.150,-0.050
2.150,-0.150
2.150,-0.250
2.219,-0.319
2.288,-0.388
2.357,-0.457
2.426,-0.526
2.495,-0.595
2.564,-0.664
2.633,-0.733
2.702,-0.802
2.771,-0.871
2.840,-0.940
2.909,-1.009
2.978,-1.078
3.047,-1.147
3.116,-1.216
3.184,-1.284
3.253,-1.353
3.322,-1.422
3.391,-1.491
3.460,-1.560
3.529,-1.629
3.598,-1.698
3.667,-1.767
3.736,-1.836
3.805,-1.905
3.874,-1.974
3.943,-2.043
4.012,-2.112
4.081,-2.181
4.150,-2.250
4.167,-2.346
4.183,-2.442
4.200,-2.538
4.217,-2.633
4.233,-2.729
4.250,-2.825
4.267,-2.921
4.283,-3.017
4.300,-3.112
4.317,-3.208
4.333,-3.304
4.350,-3.400
4.367,-3.496
4.383,-3.592
4.400,-3.688
4.417,-3.783
4.433,-3.879
4.450,-3.975
4.467,-4.071
4.483,-4.167
4.500,-4.262
4.517,-4.358
4.533,-4.454
4.550,-4.550
